 Eloss (eV)  Int (a.u.)  Int Err (a.u.)
 -20.101528        0.00        0.000000
 -20.091885        0.00        0.000000
 -20.082242        0.00        0.000000
 -20.072598        0.00        0.000000
 -20.062955        0.00        0.000000
 -20.053312        0.00        0.000000
 -20.043668        0.00        0.000000
 -20.034025        0.00        0.000000
 -20.024382        0.00        0.000000
 -20.014738        0.00        0.000000
 -20.005095        0.00        0.000000
 -19.995452        0.00        0.000000
 -19.985808        0.00        0.000000
 -19.976165        0.00        0.000000
 -19.966522        0.00        0.000000
 -19.956878        0.00        0.000000
 -19.947235        0.00        0.000000
 -19.937592        0.00        0.000000
 -19.927948        0.00        0.000000
 -19.918305        0.00        0.000000
 -19.908662        0.00        0.000000
 -19.899018        0.00        0.000000
 -19.889375        0.00        0.000000
 -19.879732        0.00        0.000000
 -19.870088        0.00        0.000000
 -19.860445        0.00        0.000000
 -19.850802        0.00        0.000000
 -19.841158        0.00        0.000000
 -19.831515        0.00        0.000000
 -19.821872        0.00        0.000000
 -19.812228        0.00        0.000000
 -19.802585        0.00        0.000000
 -19.792942        0.00        0.000000
 -19.783298        0.00        0.000000
 -19.773655        0.00        0.000000
 -19.764012        0.00        0.000000
 -19.754368        0.00        0.000000
 -19.744725        0.00        0.000000
 -19.735082        0.00        0.000000
 -19.725438        0.00        0.000000
 -19.715795        0.00        0.000000
 -19.706152        0.00        0.000000
 -19.696508        0.00        0.000000
 -19.686865        0.00        0.000000
 -19.677222        0.00        0.000000
 -19.667578        0.00        0.000000
 -19.657935        0.00        0.000000
 -19.648292        0.00        0.000000
 -19.638648        0.00        0.000000
 -19.629005        0.00        0.000000
 -19.619362        0.00        0.000000
 -19.609718        0.00        0.000000
 -19.600075        0.00        0.000000
 -19.590432        0.00        0.000000
 -19.580788        0.00        0.000000
 -19.571145        0.00        0.000000
 -19.561502        0.00        0.000000
 -19.551858        0.00        0.000000
 -19.542215        0.00        0.000000
 -19.532572        0.00        0.000000
 -19.522928        0.00        0.000000
 -19.513285        0.00        0.000000
 -19.503642        0.00        0.000000
 -19.493998        0.00        0.000000
 -19.484355        0.00        0.000000
 -19.474712        0.00        0.000000
 -19.465068        0.00        0.000000
 -19.455425        0.00        0.000000
 -19.445782        0.00        0.000000
 -19.436138        0.00        0.000000
 -19.426495        0.00        0.000000
 -19.416852        0.00        0.000000
 -19.407208        0.00        0.000000
 -19.397565        0.00        0.000000
 -19.387922        0.00        0.000000
 -19.378278        0.00        0.000000
 -19.368635        0.00        0.000000
 -19.358992        0.00        0.000000
 -19.349348        0.00        0.000000
 -19.339705        0.00        0.000000
 -19.330062        0.00        0.000000
 -19.320418        0.00        0.000000
 -19.310775        0.00        0.000000
 -19.301132        0.00        0.000000
 -19.291488        0.00        0.000000
 -19.281845        0.00        0.000000
 -19.272202        0.00        0.000000
 -19.262558        0.00        0.000000
 -19.252915        0.00        0.000000
 -19.243272        0.00        0.000000
 -19.233628        0.00        0.000000
 -19.223985        0.00        0.000000
 -19.214342        0.00        0.000000
 -19.204698        0.00        0.000000
 -19.195055        0.00        0.000000
 -19.185412        0.00        0.000000
 -19.175768        0.00        0.000000
 -19.166125        0.00        0.000000
 -19.156482        0.00        0.000000
 -19.146838        0.00        0.000000
 -19.137195        0.00        0.000000
 -19.127552        0.00        0.000000
 -19.117908        0.00        0.000000
 -19.108265        0.00        0.000000
 -19.098622        0.00        0.000000
 -19.088978        0.00        0.000000
 -19.079335        0.00        0.000000
 -19.069692        0.00        0.000000
 -19.060048        0.00        0.000000
 -19.050405        0.00        0.000000
 -19.040762        0.00        0.000000
 -19.031118        0.00        0.000000
 -19.021475        0.00        0.000000
 -19.011832        0.00        0.000000
 -19.002188        0.00        0.000000
 -18.992545        0.00        0.000000
 -18.982902        0.00        0.000000
 -18.973258        0.00        0.000000
 -18.963615        0.00        0.000000
 -18.953972        0.00        0.000000
 -18.944328        0.00        0.000000
 -18.934685        0.00        0.000000
 -18.925042        0.00        0.000000
 -18.915398        0.00        0.000000
 -18.905755        0.00        0.000000
 -18.896112        0.00        0.000000
 -18.886468        0.00        0.000000
 -18.876825        0.00        0.000000
 -18.867182        0.00        0.000000
 -18.857538        0.00        0.000000
 -18.847895        0.00        0.000000
 -18.838252        0.00        0.000000
 -18.828608        0.00        0.000000
 -18.818965        0.00        0.000000
 -18.809322        0.00        0.000000
 -18.799678        0.00        0.000000
 -18.790035        0.00        0.000000
 -18.780392        0.00        0.000000
 -18.770748        0.00        0.000000
 -18.761105        0.00        0.000000
 -18.751462        0.00        0.000000
 -18.741818        0.00        0.000000
 -18.732175        0.00        0.000000
 -18.722532        0.00        0.000000
 -18.712888        0.00        0.000000
 -18.703245        0.00        0.000000
 -18.693602        0.00        0.000000
 -18.683958        0.00        0.000000
 -18.674315        0.00        0.000000
 -18.664672        0.00        0.000000
 -18.655028        0.00        0.000000
 -18.645385        0.00        0.000000
 -18.635742        0.00        0.000000
 -18.626098        0.00        0.000000
 -18.616455        0.00        0.000000
 -18.606812        0.00        0.000000
 -18.597168        0.00        0.000000
 -18.587525        0.00        0.000000
 -18.577882        0.00        0.000000
 -18.568238        0.00        0.000000
 -18.558595        0.00        0.000000
 -18.548952        0.00        0.000000
 -18.539308        0.00        0.000000
 -18.529665        0.00        0.000000
 -18.520022        0.00        0.000000
 -18.510378        0.00        0.000000
 -18.500735        0.00        0.000000
 -18.491092        0.00        0.000000
 -18.481448        0.00        0.000000
 -18.471805        0.00        0.000000
 -18.462162        0.00        0.000000
 -18.452518        0.00        0.000000
 -18.442875        0.00        0.000000
 -18.433232        0.00        0.000000
 -18.423588        0.00        0.000000
 -18.413945        0.00        0.000000
 -18.404302        0.00        0.000000
 -18.394658        0.00        0.000000
 -18.385015        0.00        0.000000
 -18.375372        0.00        0.000000
 -18.365728        0.00        0.000000
 -18.356085        0.00        0.000000
 -18.346442        0.00        0.000000
 -18.336798        0.00        0.000000
 -18.327155        0.00        0.000000
 -18.317512        0.00        0.000000
 -18.307868        0.00        0.000000
 -18.298225        0.00        0.000000
 -18.288582        0.00        0.000000
 -18.278938        0.00        0.000000
 -18.269295        0.00        0.000000
 -18.259652        0.56        0.043205
 -18.250008        0.44        0.038297
 -18.240365        0.00        0.000000
 -18.230722        0.56        0.043205
 -18.221078        0.44        0.038297
 -18.211435        0.00        0.000000
 -18.201792        0.56        0.043205
 -18.192148        0.44        0.038297
 -18.182505        0.00        0.000000
 -18.172862        0.00        0.000000
 -18.163218        0.00        0.000000
 -18.153575        0.00        0.000000
 -18.143932        0.00        0.000000
 -18.134288        0.00        0.000000
 -18.124645        0.00        0.000000
 -18.115002        0.00        0.000000
 -18.105358        0.56        0.043205
 -18.095715        0.44        0.038297
 -18.086072        0.56        0.043205
 -18.076428        0.44        0.038297
 -18.066785        0.00        0.000000
 -18.057142        0.00        0.000000
 -18.047498        0.00        0.000000
 -18.037855        0.00        0.000000
 -18.028212        0.00        0.000000
 -18.018568        0.00        0.000000
 -18.008925        0.00        0.000000
 -17.999282        0.00        0.000000
 -17.989638        0.00        0.000000
 -17.979995        0.00        0.000000
 -17.970352        0.00        0.000000
 -17.960708        0.00        0.000000
 -17.951065        0.00        0.000000
 -17.941422        0.00        0.000000
 -17.931778        0.00        0.000000
 -17.922135        0.00        0.000000
 -17.912492        0.00        0.000000
 -17.902848        0.00        0.000000
 -17.893205        0.00        0.000000
 -17.883562        0.00        0.000000
 -17.873918        0.00        0.000000
 -17.864275        0.00        0.000000
 -17.854632        0.00        0.000000
 -17.844988        0.00        0.000000
 -17.835345        0.00        0.000000
 -17.825702        0.00        0.000000
 -17.816058        0.00        0.000000
 -17.806415        0.00        0.000000
 -17.796772        0.00        0.000000
 -17.787128        0.00        0.000000
 -17.777485        0.00        0.000000
 -17.767842        0.00        0.000000
 -17.758198        0.00        0.000000
 -17.748555        0.00        0.000000
 -17.738912        0.00        0.000000
 -17.729268        0.00        0.000000
 -17.719625        0.56        0.043205
 -17.709982        0.44        0.038297
 -17.700338        0.00        0.000000
 -17.690695        0.56        0.043205
 -17.681052        0.44        0.038297
 -17.671408        0.00        0.000000
 -17.661765        0.00        0.000000
 -17.652122        0.00        0.000000
 -17.642478        0.56        0.043205
 -17.632835        0.44        0.038297
 -17.623192        0.00        0.000000
 -17.613548        0.00        0.000000
 -17.603905        0.56        0.043205
 -17.594262        1.00        0.057735
 -17.584618        0.44        0.038297
 -17.574975        0.00        0.000000
 -17.565332        0.00        0.000000
 -17.555688        0.00        0.000000
 -17.546045        0.00        0.000000
 -17.536402        0.00        0.000000
 -17.526758        0.00        0.000000
 -17.517115        0.00        0.000000
 -17.507472        0.00        0.000000
 -17.497828        0.00        0.000000
 -17.488185        0.00        0.000000
 -17.478542        0.56        0.043205
 -17.468898        0.44        0.038297
 -17.459255        0.56        0.043205
 -17.449612        0.44        0.038297
 -17.439968        0.00        0.000000
 -17.430325        0.00        0.000000
 -17.420682        0.00        0.000000
 -17.411038        0.00        0.000000
 -17.401395        0.00        0.000000
 -17.391752        0.00        0.000000
 -17.382108        0.00        0.000000
 -17.372465        0.00        0.000000
 -17.362822        0.00        0.000000
 -17.353178        0.00        0.000000
 -17.343535        0.00        0.000000
 -17.333892        0.00        0.000000
 -17.324248        0.00        0.000000
 -17.314605        0.56        0.043205
 -17.304962        0.44        0.038297
 -17.295318        0.00        0.000000
 -17.285675        0.00        0.000000
 -17.276032        0.00        0.000000
 -17.266388        0.00        0.000000
 -17.256745        0.00        0.000000
 -17.247102        0.00        0.000000
 -17.237458        0.00        0.000000
 -17.227815        0.00        0.000000
 -17.218172        0.00        0.000000
 -17.208528        0.00        0.000000
 -17.198885        0.00        0.000000
 -17.189242        0.00        0.000000
 -17.179598        0.00        0.000000
 -17.169955        0.00        0.000000
 -17.160312        0.00        0.000000
 -17.150668        0.00        0.000000
 -17.141025        0.00        0.000000
 -17.131382        0.00        0.000000
 -17.121738        0.00        0.000000
 -17.112095        0.00        0.000000
 -17.102452        0.00        0.000000
 -17.092808        0.00        0.000000
 -17.083165        0.00        0.000000
 -17.073522        0.00        0.000000
 -17.063878        0.00        0.000000
 -17.054235        0.00        0.000000
 -17.044592        0.00        0.000000
 -17.034948        0.00        0.000000
 -17.025305        0.00        0.000000
 -17.015662        0.00        0.000000
 -17.006018        0.00        0.000000
 -16.996375        0.00        0.000000
 -16.986732        0.00        0.000000
 -16.977088        0.56        0.043205
 -16.967445        0.44        0.038297
 -16.957802        0.00        0.000000
 -16.948158        0.00        0.000000
 -16.938515        0.00        0.000000
 -16.928872        0.00        0.000000
 -16.919228        0.00        0.000000
 -16.909585        0.00        0.000000
 -16.899942        0.00        0.000000
 -16.890298        0.00        0.000000
 -16.880655        0.00        0.000000
 -16.871012        0.00        0.000000
 -16.861368        0.00        0.000000
 -16.851725        0.00        0.000000
 -16.842082        0.00        0.000000
 -16.832438        0.00        0.000000
 -16.822795        0.00        0.000000
 -16.813152        0.00        0.000000
 -16.803508        0.00        0.000000
 -16.793865        0.00        0.000000
 -16.784222        0.00        0.000000
 -16.774578        0.56        0.043205
 -16.764935        0.44        0.038297
 -16.755292        0.00        0.000000
 -16.745648        0.00        0.000000
 -16.736005        0.00        0.000000
 -16.726362        0.00        0.000000
 -16.716718        0.00        0.000000
 -16.707075        0.00        0.000000
 -16.697432        0.00        0.000000
 -16.687788        0.00        0.000000
 -16.678145        0.00        0.000000
