     Tpp  Eigenvalues Row 1
0.500000          10.143685
0.510204          10.152502
0.520408          10.161523
0.530612          10.170757
0.540816          10.180211
0.551020          10.189893
0.561224          10.199814
0.571429          10.209981
0.581633          10.220404
0.591837          10.231094
0.602041          10.242060
0.612245          10.253312
0.622449          10.264861
0.632653          10.276716
0.642857          10.288887
0.653061          10.301383
0.663265          10.314213
0.673469          10.327385
0.683673          10.340906
0.693878          10.354781
0.704082          10.369017
0.714286          10.383615
0.724490          10.398579
0.734694          10.413909
0.744898          10.429605
0.755102          10.445664
0.765306          10.462082
0.775510          10.478855
0.785714          10.495975
0.795918          10.513437
0.806122          10.531231
0.816327          10.549348
0.826531          10.567777
0.836735          10.586509
0.846939          10.605533
0.857143          10.624836
0.867347          10.644408
0.877551          10.664237
0.887755          10.684312
0.897959          10.704622
0.908163          10.725157
0.918367          10.745905
0.928571          10.766856
0.938776          10.788001
0.948980          10.809331
0.959184          10.830836
0.969388          10.852508
0.979592          10.874339
0.989796          10.896321
1.000000          10.918448
