     pdsi  Eigenvalues Row 2
-0.700000           9.501803
-0.707755           9.526915
-0.715510           9.552115
-0.723265           9.577403
-0.731020           9.602781
-0.738776           9.628250
-0.746531           9.653812
-0.754286           9.679468
-0.762041           9.705220
-0.769796           9.731070
-0.777551           9.757019
-0.785306           9.783069
-0.793061           9.809221
-0.800816           9.835479
-0.808571           9.861844
-0.816327           9.888318
-0.824082           9.914903
-0.831837           9.941603
-0.839592           9.968418
-0.847347           9.995352
-0.855102          10.022408
-0.862857          10.049587
-0.870612          10.076893
-0.878367          10.104329
-0.886122          10.131897
-0.893878          10.159600
-0.901633          10.187441
-0.909388          10.215424
-0.917143          10.243551
-0.924898          10.271825
-0.932653          10.300251
-0.940408          10.328830
-0.948163          10.357567
-0.955918          10.386465
-0.963673          10.415526
-0.971429          10.444755
-0.979184          10.474155
-0.986939          10.503728
-0.994694          10.533478
-1.002449          10.563409
-1.010204          10.593524
-1.017959          10.623825
-1.025714          10.654317
-1.033469          10.685001
-1.041224          10.715882
-1.048980          10.746962
-1.056735          10.778243
-1.064490          10.809728
-1.072245          10.841421
-1.080000          10.873323
