 Hybrid Ratio Row1  Hybrid Ratio Row2  Hybrid Ratio Row3  Hybrid Ratio Row4  Hybrid Ratio Row5  Hybrid Ratio Row6  Hybrid Ratio Row7  Hybrid Ratio Row8  Hybrid Ratio Row9  Hybrid Ratio Row10  Hybrid Ratio Row11  Hybrid Ratio Row12  Hybrid Ratio Row13  Hybrid Ratio Row14  Hybrid Ratio Row15  Hybrid Ratio Row16  Hybrid Ratio Row17  Hybrid Ratio Row18  Hybrid Ratio Row19  Hybrid Ratio Row20  Hybrid Ratio Row21  Hybrid Ratio Row22  Hybrid Ratio Row23  Hybrid Ratio Row24  Hybrid Ratio Row25  Hybrid Ratio Row26  Hybrid Ratio Row27  Hybrid Ratio Row28  Hybrid Ratio Row29  Hybrid Ratio Row30  Hybrid Ratio Row31  Hybrid Ratio Row32  Hybrid Ratio Row33  Hybrid Ratio Row34  Hybrid Ratio Row35  Hybrid Ratio Row36  Hybrid Ratio Row37  Hybrid Ratio Row38  Hybrid Ratio Row39  Hybrid Ratio Row40  Hybrid Ratio Row41  Hybrid Ratio Row42  Hybrid Ratio Row43  Hybrid Ratio Row44  Hybrid Ratio Row45  Hybrid Ratio Row46  Hybrid Ratio Row47  Hybrid Ratio Row48  Hybrid Ratio Row49  Hybrid Ratio Row50  Hybrid Ratio Row51  Hybrid Ratio Row52  Hybrid Ratio Row53  Hybrid Ratio Row54  Hybrid Ratio Row55  Hybrid Ratio Row56  Hybrid Ratio Row57  Hybrid Ratio Row58  Hybrid Ratio Row59  Hybrid Ratio Row60  Hybrid Ratio Row61  Hybrid Ratio Row62  Hybrid Ratio Row63  Hybrid Ratio Row64  Hybrid Ratio Row65
          1.145964           1.151909           1.157839           1.163753           1.169653           1.175536           1.181405           1.187257           1.193094            1.198916            1.204722            1.210512            1.216287            1.222046            1.227788            1.233516            1.239227            1.244922            1.250602            1.256265            1.261913            1.267544            1.273160            1.278759            1.284343            1.289910            1.295461            1.300997            1.306516            1.312019            1.317506            1.322977            1.328432            1.333871            1.339293            1.344700            1.350090            1.355465            1.360823            1.366165            1.371491            1.376802            1.382096            1.387374            1.392636            1.397882            1.403112            1.408326            1.413525            1.418707            1.418660            1.423870            1.429064            1.434244            1.439407            1.444556            1.449689            1.454807            1.459909            1.464997            1.470069            1.475125            1.480167            1.485193            1.490204
          1.139890           1.145827           1.151750           1.157658           1.163550           1.169428           1.175290           1.181136           1.186968            1.192784            1.198584            1.204369            1.210138            1.215891            1.221629            1.227352            1.233058            1.238749            1.244424            1.250083            1.255727            1.261354            1.266966            1.272562            1.278142            1.283706            1.289254            1.294786            1.300302            1.305802            1.311286            1.316755            1.322207            1.327643            1.333063            1.338468            1.343856            1.349229            1.354585            1.359926            1.365250            1.370559            1.375851            1.381128            1.386389            1.391634            1.396863            1.402077            1.407274            1.412456            1.412409            1.417618            1.422812            1.427990            1.433153            1.438301            1.443434            1.448551            1.453653            1.458740            1.463812            1.468868            1.473910            1.478936            1.483947
          1.133844           1.139775           1.145691           1.151591           1.157477           1.163348           1.169204           1.175044           1.180869            1.186679            1.192474            1.198253            1.204017            1.209765            1.215498            1.221215            1.226917            1.232603            1.238274            1.243929            1.249568            1.255191            1.260799            1.266391            1.271967            1.277527            1.283072            1.288601            1.294114            1.299611            1.305092            1.310558            1.316007            1.321441            1.326859            1.332261            1.337647            1.343018            1.348372            1.353711            1.359033            1.364340            1.369632            1.374907            1.380167            1.385410            1.390638            1.395850            1.401047            1.406228            1.406182            1.411390            1.416583            1.421760            1.426922            1.432069            1.437201            1.442318            1.447419            1.452506            1.457577            1.462634            1.467675            1.472701            1.477712
          1.127828           1.133751           1.139660           1.145554           1.151433           1.157297           1.163146           1.168980           1.174799            1.180603            1.186392            1.192165            1.197924            1.203667            1.209394            1.215106            1.220803            1.226484            1.232150            1.237801            1.243435            1.249055            1.254658            1.260246            1.265819            1.271375            1.276917            1.282442            1.287952            1.293446            1.298924            1.304386            1.309833            1.315264            1.320680            1.326079            1.331463            1.336831            1.342184            1.347520            1.352841            1.358146            1.363436            1.368710            1.373968            1.379210            1.384437            1.389648            1.394844            1.400023            1.399979            1.405185            1.410377            1.415553            1.420714            1.425860            1.430991            1.436107            1.441208            1.446294            1.451365            1.456421            1.461462            1.466488            1.471499
          1.121841           1.127757           1.133658           1.139545           1.145417           1.151274           1.157117           1.162944           1.168757            1.174555            1.180338            1.186105            1.191858            1.197595            1.203318            1.209025            1.214716            1.220393            1.226054            1.231700            1.237330            1.242945            1.248544            1.254128            1.259697            1.265250            1.270787            1.276309            1.281815            1.287306            1.292781            1.298241            1.303684            1.309113            1.314525            1.319923            1.325304            1.330670            1.336020            1.341355            1.346674            1.351977            1.357265            1.362537            1.367793            1.373034            1.378260            1.383470            1.388664            1.393843            1.393798            1.399004            1.404194            1.409369            1.414529            1.419674            1.424804            1.429920            1.435020            1.440105            1.445176            1.450231            1.455272            1.460298            1.465309
          1.115884           1.121792           1.127686           1.133565           1.139430           1.145280           1.151116           1.156937           1.162743            1.168535            1.174312            1.180073            1.185820            1.191552            1.197269            1.202970            1.208657            1.214328            1.219985            1.225626            1.231251            1.236862            1.242457            1.248037            1.253601            1.259150            1.264684            1.270202            1.275705            1.281192            1.286664            1.292120            1.297561            1.302986            1.308396            1.313791            1.319170            1.324533            1.329881            1.335213            1.340530            1.345832            1.351117            1.356388            1.361643            1.366882            1.372106            1.377315            1.382508            1.387685            1.387642            1.392846            1.398034            1.403208            1.408367            1.413511            1.418640            1.423755            1.428854            1.433939            1.439009            1.444064            1.449104            1.454129            1.459140
          1.109955           1.115856           1.121742           1.127614           1.133472           1.139315           1.145144           1.150958           1.156758            1.162543            1.168313            1.174069            1.179810            1.185536            1.191247            1.196943            1.202625            1.208291            1.213942            1.219578            1.225199            1.230805            1.236396            1.241971            1.247531            1.253076            1.258606            1.264120            1.269620            1.275103            1.280572            1.286025            1.291463            1.296885            1.302292            1.307684            1.313060            1.318421            1.323766            1.329097            1.334411            1.339710            1.344994            1.350263            1.355516            1.360754            1.365976            1.371183            1.376375            1.381551            1.381509            1.386711            1.391898            1.397070            1.402228            1.407371            1.412499            1.417612            1.422711            1.427795            1.432864            1.437918            1.442958            1.447983            1.452993
          1.104056           1.109948           1.115827           1.121691           1.127542           1.133378           1.139200           1.145007           1.150800            1.156579            1.162343            1.168092            1.173827            1.179547            1.185253            1.190943            1.196619            1.202280            1.207926            1.213557            1.219174            1.224775            1.230361            1.235932            1.241488            1.247029            1.252554            1.258065            1.263560            1.269041            1.274506            1.279955            1.285390            1.290809            1.296213            1.301602            1.306975            1.312334            1.317676            1.323004            1.328317            1.333614            1.338895            1.344162            1.349413            1.354649            1.359870            1.365075            1.370266            1.375441            1.375399            1.380599            1.385785            1.390956            1.396112            1.401254            1.406381            1.411493            1.416590            1.421673            1.426741            1.431795            1.436834            1.441858            1.446868
          1.098185           1.104070           1.109940           1.115797           1.121640           1.127469           1.133284           1.139084           1.144870            1.150642            1.156400            1.162143            1.167872            1.173586            1.179286            1.184971            1.190641            1.196296            1.201937            1.207563            1.213174            1.218771            1.224352            1.229919            1.235470            1.241007            1.246529            1.252035            1.257527            1.263003            1.268464            1.273911            1.279342            1.284758            1.290159            1.295545            1.300915            1.306271            1.311611            1.316936            1.322246            1.327541            1.332820            1.338085            1.343334            1.348568            1.353787            1.358991            1.364180            1.369353            1.369312            1.374511            1.379695            1.384864            1.390019            1.395159            1.400285            1.405396            1.410492            1.415574            1.420641            1.425694            1.430732            1.435756            1.440765
          1.092343           1.098220           1.104082           1.109931           1.115767           1.121588           1.127396           1.133189           1.138968            1.144734            1.150485            1.156221            1.161944            1.167652            1.173346            1.179025            1.184689            1.190339            1.195975            1.201596            1.207202            1.212793            1.218370            1.223932            1.229479            1.235011            1.240528            1.246031            1.251518            1.256991            1.262449            1.267891            1.273319            1.278732            1.284130            1.289512            1.294880            1.300232            1.305570            1.310892            1.316200            1.321492            1.326770            1.332032            1.337279            1.342511            1.347728            1.352930            1.358117            1.363289            1.363249            1.368445            1.373628            1.378795            1.383949            1.389087            1.394212            1.399321            1.404417            1.409497            1.414564            1.419615            1.424653            1.429676            1.434684
