 Eloss (eV)    Int (a.u.)  Int Err (a.u.)
 -32.537805   -646.536772        0.000000
 -32.506080    -82.384572        0.000000
 -32.474355  -1037.847652        0.000000
 -32.442630  -1078.336541        0.000000
 -32.410905   -341.864284        0.000000
 -32.379180   -426.849156        0.000000
 -32.347456   -860.741922        0.000000
 -32.315731   -428.987942        0.000000
 -32.284006   -340.356146        0.000000
 -32.252281   -736.300036        0.000000
 -32.220556  -1115.148324        0.000000
 -32.188831   -644.556603        0.000000
 -32.157106   -530.101195        0.000000
 -32.125381   -620.106450        0.000000
 -32.093656  -1248.753227        0.000000
 -32.061931   -365.785246        0.000000
 -32.030206   -966.954809        0.000000
 -31.998482    -75.766268        0.000000
 -31.966757  -1562.937556        0.000000
 -31.935032   -593.832567        0.000000
 -31.903307   -337.690307        0.000000
 -31.871582   -752.754139        0.000000
 -31.839857   -908.007993        0.000000
 -31.808132   -623.930361        0.000000
 -31.776407   -748.822633        0.000000
 -31.744682   -556.378627        0.000000
 -31.712957  -1066.479939        0.000000
 -31.681232   -859.144780        0.000000
 -31.649508   -286.104403        0.000000
 -31.617783     -0.259308        0.000000
 -31.586058   -707.709636        0.000000
 -31.554333    120.065302       10.957431
 -31.522608   -491.168960        0.000000
 -31.490883   -194.887589        0.000000
 -31.459158  -1063.248928        0.000000
 -31.427433   -544.095489        0.000000
 -31.395708   -418.051514        0.000000
 -31.363983   -206.022499        0.000000
 -31.332258   -719.866810        0.000000
 -31.300533      6.693987        2.587274
 -31.268809   -138.444736        0.000000
 -31.237084   -214.088464        0.000000
 -31.205359  -1078.829030        0.000000
 -31.173634   -341.164049        0.000000
 -31.141909   -653.521120        0.000000
 -31.110184   -346.606797        0.000000
 -31.078459  -1173.073924        0.000000
 -31.046734  -1106.026896        0.000000
 -31.015009   -287.370329        0.000000
 -30.983284   -683.448049        0.000000
 -30.951559   -837.304595        0.000000
 -30.919835   -537.091858        0.000000
 -30.888110    -20.345890        0.000000
 -30.856385   -638.839790        0.000000
 -30.824660   -863.311760        0.000000
 -30.792935   -687.124173        0.000000
 -30.761210   -333.056980        0.000000
 -30.729485   -659.452936        0.000000
 -30.697760  -1152.105637        0.000000
 -30.666035   -516.828332        0.000000
 -30.634310   -545.962028        0.000000
 -30.602585   -260.534143        0.000000
 -30.570861  -1104.846870        0.000000
 -30.539136   -627.000752        0.000000
 -30.507411   -526.231808        0.000000
 -30.475686   -436.273335        0.000000
 -30.443961  -1021.970794        0.000000
 -30.412236   -832.955720        0.000000
 -30.380511    -13.917487        0.000000
 -30.348786   -276.052947        0.000000
 -30.317061   -694.506306        0.000000
 -30.285336   -628.244382        0.000000
 -30.253611   -528.004396        0.000000
 -30.221887  -1152.107018        0.000000
 -30.190162   -636.040071        0.000000
 -30.158437   -766.435111        0.000000
 -30.126712   -284.993610        0.000000
 -30.094987   -300.364043        0.000000
 -30.063262  -1350.701949        0.000000
 -30.031537   -397.370495        0.000000
 -29.999812     42.236475        6.498960
 -29.968087     57.010469        7.550528
 -29.936362   -765.854337        0.000000
 -29.904637   -402.990664        0.000000
 -29.872912   -615.891182        0.000000
 -29.841188    104.015859       10.198817
 -29.809463  -1418.554530        0.000000
 -29.777738   -556.533400        0.000000
 -29.746013    -92.996985        0.000000
 -29.714288   -330.664887        0.000000
 -29.682563  -1529.471693        0.000000
 -29.650838   -433.215486        0.000000
 -29.619113   -372.345921        0.000000
 -29.587388   -376.720886        0.000000
 -29.555663  -1355.030658        0.000000
 -29.523938   -677.024468        0.000000
 -29.492214   -357.815907        0.000000
 -29.460489    313.667295       17.710655
 -29.428764   -991.570280        0.000000
 -29.397039   -693.217985        0.000000
 -29.365314   -501.335930        0.000000
 -29.333589   -133.087440        0.000000
 -29.301864   -851.741651        0.000000
 -29.270139   -771.101223        0.000000
 -29.238414   -692.351939        0.000000
 -29.206689   -870.668364        0.000000
 -29.174964  -1248.554649        0.000000
 -29.143240   -837.587908        0.000000
 -29.111515   -575.844024        0.000000
 -29.079790   -584.470869        0.000000
 -29.048065  -1058.719178        0.000000
 -29.016340  -1086.260115        0.000000
 -28.984615   -394.893959        0.000000
 -28.952890   -691.702266        0.000000
 -28.921165   -890.623587        0.000000
 -28.889440   -584.647539        0.000000
 -28.857715   -389.400544        0.000000
 -28.825990   -455.396294        0.000000
 -28.794266   -885.604741        0.000000
 -28.762541   -733.122028        0.000000
 -28.730816     -7.957779        0.000000
 -28.699091   -305.630562        0.000000
 -28.667366   -509.574908        0.000000
 -28.635641   -431.460771        0.000000
 -28.603916   -559.561021        0.000000
 -28.572191   -533.577204        0.000000
 -28.540466  -1025.818836        0.000000
 -28.508741   -904.965352        0.000000
 -28.477016   -822.038872        0.000000
 -28.445291   -426.980756        0.000000
 -28.413567  -1016.161304        0.000000
 -28.381842   -738.532331        0.000000
 -28.350117   -169.926732        0.000000
 -28.318392   -312.165795        0.000000
 -28.286667   -633.655141        0.000000
 -28.254942   -596.697517        0.000000
 -28.223217   -896.719357        0.000000
 -28.191492   -708.266734        0.000000
 -28.159767   -523.527095        0.000000
 -28.128042   -757.005585        0.000000
 -28.096317   -413.565451        0.000000
 -28.064593    -56.001322        0.000000
 -28.032868   -330.546063        0.000000
 -28.001143   -538.974429        0.000000
 -27.969418   -463.283581        0.000000
 -27.937693   -569.416063        0.000000
 -27.905968  -1201.077203        0.000000
 -27.874243   -635.025630        0.000000
 -27.842518   -391.367172        0.000000
 -27.810793   -206.183623        0.000000
 -27.779068  -1516.432126        0.000000
 -27.747343   -898.546004        0.000000
 -27.715619   -210.766118        0.000000
 -27.683894   -860.572055        0.000000
 -27.652169  -1247.256173        0.000000
 -27.620444   -579.002896        0.000000
 -27.588719   -340.152106        0.000000
 -27.556994    -43.433331        0.000000
 -27.525269  -1119.898322        0.000000
 -27.493544   -655.333599        0.000000
 -27.461819   -554.206297        0.000000
 -27.430094    -63.229926        0.000000
 -27.398369   -745.489602        0.000000
 -27.366645   -214.045893        0.000000
 -27.334920     25.637640        5.063363
 -27.303195   -437.293802        0.000000
 -27.271470  -1022.164735        0.000000
 -27.239745   -850.412077        0.000000
 -27.208020   -871.199517        0.000000
 -27.176295   -666.143400        0.000000
 -27.144570   -624.629871        0.000000
 -27.112845   -712.730755        0.000000
 -27.081120   -568.890531        0.000000
 -27.049395     51.862016        7.201529
 -27.017670   -674.346600        0.000000
 -26.985946   -308.266212        0.000000
 -26.954221   -341.621795        0.000000
 -26.922496     32.873853        5.733572
 -26.890771  -1062.047694        0.000000
 -26.859046   -706.950897        0.000000
 -26.827321   -791.314961        0.000000
 -26.795596   -190.075415        0.000000
 -26.763871  -1199.706042        0.000000
 -26.732146   -852.692661        0.000000
 -26.700421   -293.154057        0.000000
 -26.668696   -264.171885        0.000000
 -26.636972   -968.897933        0.000000
 -26.605247   -722.579133        0.000000
 -26.573522   -430.210530        0.000000
 -26.541797     40.678083        6.377937
 -26.510072   -821.441253        0.000000
 -26.478347   -330.926984        0.000000
 -26.446622   -246.954545        0.000000
 -26.414897    300.810745       17.343896
 -26.383172   -509.427716        0.000000
 -26.351447   -131.167880        0.000000
 -26.319722    160.225140       12.658007
 -26.287998    433.360792       20.817320
 -26.256273   -455.348057        0.000000
 -26.224548    -44.829310        0.000000
 -26.192823     80.271662        8.959445
 -26.161098   -344.137501        0.000000
 -26.129373  -1222.251112        0.000000
 -26.097648   -348.187429        0.000000
 -26.065923   -277.127326        0.000000
 -26.034198     38.441665        6.200134
 -26.002473   -517.503102        0.000000
 -25.970748   -260.765604        0.000000
 -25.939024    -16.698817        0.000000
 -25.907299    294.697461       17.166755
 -25.875574   -502.631345        0.000000
 -25.843849   -518.693642        0.000000
 -25.812124   -154.585551        0.000000
 -25.780399     36.821372        6.068062
 -25.748674  -1011.364321        0.000000
 -25.716949    229.294536       15.142475
 -25.685224   -128.339454        0.000000
 -25.653499    216.308390       14.707426
 -25.621774   -396.089450        0.000000
 -25.590049    179.086911       13.382336
 -25.558325   -492.036604        0.000000
 -25.526600   -340.245966        0.000000
 -25.494875   -544.683009        0.000000
 -25.463150   -317.252797        0.000000
 -25.431425    245.564158       15.670487
 -25.399700    174.660695       13.215926
 -25.367975   -623.139685        0.000000
 -25.336250   -227.928517        0.000000
 -25.304525     -9.882910        0.000000
 -25.272800   -272.109914        0.000000
 -25.241075  -1147.993551        0.000000
 -25.209351   -367.803809        0.000000
 -25.177626    136.868514       11.699082
 -25.145901    -95.344314        0.000000
 -25.114176   -964.425116        0.000000
 -25.082451   -233.335359        0.000000
 -25.050726   -328.580732        0.000000
 -25.019001    -60.351523        0.000000
 -24.987276   -837.889604        0.000000
 -24.955551   -451.267199        0.000000
 -24.923826   -316.099699        0.000000
 -24.892101   -398.206773        0.000000
 -24.860377   -969.883455        0.000000
 -24.828652   -365.677809        0.000000
 -24.796927    246.610880       15.703849
 -24.765202     15.958578        3.994819
 -24.733477   -328.770873        0.000000
 -24.701752   -379.818307        0.000000
 -24.670027     16.235652        4.029349
 -24.638302   -182.253861        0.000000
 -24.606577   -731.526862        0.000000
 -24.574852   -252.184213        0.000000
 -24.543127    -76.633453        0.000000
 -24.511403    240.640993       15.512608
 -24.479678   -730.678432        0.000000
 -24.447953   -351.653659        0.000000
 -24.416228   -456.394332        0.000000
 -24.384503   -266.334457        0.000000
 -24.352778   -443.330063        0.000000
 -24.321053   -414.950828        0.000000
 -24.289328   -188.931449        0.000000
 -24.257603   -497.416585        0.000000
 -24.225878   -483.911006        0.000000
 -24.194153     58.189112        7.628179
 -24.162428    -78.437486        0.000000
 -24.130704     65.855293        8.115127
 -24.098979  -1250.399199        0.000000
 -24.067254   -417.347382        0.000000
 -24.035529   -396.610292        0.000000
 -24.003804    177.093822       13.307660
 -23.972079   -205.846598        0.000000
 -23.940354     81.513187        9.028465
 -23.908629   -439.026892        0.000000
 -23.876904   -280.573974        0.000000
 -23.845179   -897.591344        0.000000
 -23.813454   -592.010179        0.000000
 -23.781730   -120.361550        0.000000
 -23.750005    -93.375940        0.000000
 -23.718280  -1108.633339        0.000000
 -23.686555   -349.334931        0.000000
 -23.654830   -149.981185        0.000000
 -23.623105   -395.537364        0.000000
 -23.591380   -760.762106        0.000000
 -23.559655   -806.891223        0.000000
 -23.527930   -480.618489        0.000000
 -23.496205   -191.226459        0.000000
 -23.464480   -382.153522        0.000000
 -23.432756     10.572550        3.251546
 -23.401031    -10.938652        0.000000
 -23.369306    -72.649892        0.000000
 -23.337581   -675.077395        0.000000
 -23.305856   -387.276362        0.000000
 -23.274131    -37.562825        0.000000
 -23.242406   -260.924648        0.000000
 -23.210681   -764.860268        0.000000
 -23.178956   -149.674365        0.000000
 -23.147231   -154.027899        0.000000
 -23.115506   -701.421687        0.000000
 -23.083782   -797.620716        0.000000
 -23.052057   -167.563555        0.000000
 -23.020332   -179.183701        0.000000
 -22.988607   -127.870618        0.000000
 -22.956882   -562.799111        0.000000
 -22.925157   -340.303566        0.000000
 -22.893432    189.411493       13.762685
 -22.861707    379.424709       19.478827
 -22.829982   -357.916757        0.000000
 -22.798257     29.212868        5.404893
 -22.766532   -461.654516        0.000000
 -22.734807   -367.919469        0.000000
 -22.703083   -415.029015        0.000000
 -22.671358    -96.373777        0.000000
 -22.639633    -25.039343        0.000000
 -22.607908     73.036408        8.546134
 -22.576183   -543.963898        0.000000
 -22.544458   -209.359441        0.000000
 -22.512733    -88.413702        0.000000
 -22.481008    147.801063       12.157346
 -22.449283   -466.791178        0.000000
 -22.417558    -21.223546        0.000000
 -22.385833    363.188417       19.057503
 -22.354109    379.839930       19.489483
 -22.322384   -608.986283        0.000000
 -22.290659   -145.662834        0.000000
 -22.258934   -494.207438        0.000000
 -22.227209   -408.133819        0.000000
 -22.195484   -977.615366        0.000000
 -22.163759   -247.661183        0.000000
 -22.132034   -126.497141        0.000000
 -22.100309     17.756876        4.213891
 -22.068584   -658.570740        0.000000
 -22.036859   -325.626271        0.000000
 -22.005135    420.553824       20.507409
 -21.973410   -102.074350        0.000000
 -21.941685   -803.982465        0.000000
 -21.909960   -499.306715        0.000000
 -21.878235   -373.639082        0.000000
 -21.846510   -150.854875        0.000000
 -21.814785   -668.277206        0.000000
 -21.783060   -842.407101        0.000000
 -21.751335   -474.792615        0.000000
 -21.719610   -390.338857        0.000000
 -21.687885  -1394.397684        0.000000
 -21.656161   -617.324090        0.000000
 -21.624436   -374.813482        0.000000
 -21.592711    118.742859       10.896920
 -21.560986   -960.457868        0.000000
 -21.529261   -135.545331        0.000000
 -21.497536   -363.344386        0.000000
 -21.465811      2.696929        1.642233
