  Cp (eV)  Eigenvalues Row 1
-0.120000          10.277907
-0.115102          10.276773
-0.110204          10.275692
-0.105306          10.274662
-0.100408          10.273683
-0.095510          10.272755
-0.090612          10.271877
-0.085714          10.271048
-0.080816          10.270270
-0.075918          10.269540
-0.071020          10.268858
-0.066122          10.268225
-0.061224          10.267639
-0.056327          10.267101
-0.051429          10.266610
-0.046531          10.266165
-0.041633          10.265766
-0.036735          10.265413
-0.031837          10.265106
-0.026939          10.264844
-0.022041          10.264626
-0.017143          10.264452
-0.012245          10.264323
-0.007347          10.264236
-0.002449          10.264194
 0.002449          10.264194
 0.007347          10.264236
 0.012245          10.264321
 0.017143          10.264447
 0.022041          10.264615
 0.026939          10.264825
 0.031837          10.265075
 0.036735          10.265365
 0.041633          10.265696
 0.046531          10.266067
 0.051429          10.266478
 0.056327          10.266927
 0.061224          10.267416
 0.066122          10.267944
 0.071020          10.268510
 0.075918          10.269115
 0.080816          10.269757
 0.085714          10.270437
 0.090612          10.271155
 0.095510          10.271910
 0.100408          10.272702
 0.105306          10.273530
 0.110204          10.274395
 0.115102          10.275297
 0.120000          10.276234
