 Eloss (eV)  Int/Int(10Dq)
   0.000000   1.438318e-28
   0.001600   1.721880e-28
   0.003201   2.060818e-28
   0.004801   2.465841e-28
   0.006401   2.949709e-28
   0.008002   3.527622e-28
   0.009602   4.217679e-28
   0.011202   5.041431e-28
   0.012803   6.024525e-28
   0.014403   7.197482e-28
   0.016003   8.596606e-28
   0.017604   1.026508e-27
   0.019204   1.225423e-27
   0.020804   1.462510e-27
   0.022404   1.745019e-27
   0.024005   2.081566e-27
   0.025605   2.482384e-27
   0.027205   2.959624e-27
   0.028806   3.527709e-27
   0.030406   4.203758e-27
   0.032006   5.008082e-27
   0.033607   5.964772e-27
   0.035207   7.102398e-27
   0.036807   8.454830e-27
   0.038408   1.006221e-26
   0.040008   1.197211e-26
   0.041608   1.424088e-26
   0.043209   1.693525e-26
   0.044809   2.013423e-26
   0.046409   2.393136e-26
   0.048010   2.843730e-26
   0.049610   3.378298e-26
   0.051210   4.012327e-26
   0.052811   4.764129e-26
   0.054411   5.655348e-26
   0.056011   6.711566e-26
   0.057612   7.963008e-26
   0.059212   9.445374e-26
   0.060812   1.120082e-25
   0.062412   1.327912e-25
   0.064013   1.573902e-25
   0.065613   1.864981e-25
   0.067213   2.209328e-25
   0.068814   2.616583e-25
   0.070414   3.098115e-25
   0.072014   3.667325e-25
   0.073615   4.340002e-25
   0.075215   5.134748e-25
   0.076815   6.073473e-25
   0.078416   7.181974e-25
   0.080016   8.490617e-25
   0.081616   1.003514e-24
   0.083217   1.185759e-24
   0.084817   1.400741e-24
   0.086417   1.654277e-24
   0.088018   1.953202e-24
   0.089618   2.305553e-24
   0.091218   2.720768e-24
   0.092819   3.209939e-24
   0.094419   3.786088e-24
   0.096019   4.464506e-24
   0.097620   5.263138e-24
   0.099220   6.203044e-24
   0.100820   7.308929e-24
   0.102420   8.609765e-24
   0.104021   1.013952e-23
   0.105621   1.193803e-23
   0.107221   1.405194e-23
   0.108822   1.653594e-23
   0.110422   1.945405e-23
   0.112022   2.288126e-23
   0.113623   2.690535e-23
   0.115223   3.162903e-23
   0.116823   3.717252e-23
   0.118424   4.367640e-23
   0.120024   5.130508e-23
   0.121624   6.025077e-23
   0.123225   7.073814e-23
   0.124825   8.302967e-23
   0.126425   9.743203e-23
   0.128026   1.143033e-22
   0.129626   1.340617e-22
   0.131226   1.571952e-22
   0.132827   1.842734e-22
   0.134427   2.159607e-22
   0.136027   2.530321e-22
   0.137628   2.963910e-22
   0.139228   3.470909e-22
   0.140828   4.063593e-22
