 Eloss (eV)    Int (a.u.)
   0.000000  3.433228e-17
   0.001600  4.023201e-17
   0.003201  4.713348e-17
   0.004801  5.520470e-17
   0.006401  6.464148e-17
   0.008002  7.567201e-17
   0.009602  8.856212e-17
   0.011202  1.036214e-16
   0.012803  1.212103e-16
   0.014403  1.417485e-16
   0.016003  1.657242e-16
   0.017604  1.937057e-16
   0.019204  2.263536e-16
   0.020804  2.644364e-16
   0.022404  3.088472e-16
   0.024005  3.606243e-16
   0.025605  4.209736e-16
   0.027205  4.912964e-16
   0.028806  5.732195e-16
   0.030406  6.686319e-16
   0.032006  7.797259e-16
   0.033607  9.090453e-16
   0.035207  1.059541e-15
   0.036807  1.234636e-15
   0.038408  1.438297e-15
   0.040008  1.675124e-15
   0.041608  1.950447e-15
   0.043209  2.270441e-15
   0.044809  2.642255e-15
   0.046409  3.074172e-15
   0.048010  3.575776e-15
   0.049610  4.158159e-15
   0.051210  4.834155e-15
   0.052811  5.618610e-15
   0.054411  6.528687e-15
   0.056011  7.584231e-15
   0.057612  8.808176e-15
   0.059212  1.022702e-14
   0.060812  1.187138e-14
   0.062412  1.377659e-14
   0.064013  1.598347e-14
   0.065613  1.853912e-14
   0.067213  2.149789e-14
   0.068814  2.492248e-14
   0.070414  2.888521e-14
   0.072014  3.346944e-14
   0.073615  3.877128e-14
   0.075215  4.490147e-14
   0.076815  5.198759e-14
   0.078416  6.017659e-14
   0.080016  6.963765e-14
   0.081616  8.056556e-14
   0.083217  9.318445e-14
   0.084817  1.077522e-13
   0.086417  1.245655e-13
   0.088018  1.439653e-13
   0.089618  1.663439e-13
   0.091218  1.921518e-13
   0.092819  2.219069e-13
   0.094419  2.562040e-13
   0.096019  2.957261e-13
   0.097620  3.412575e-13
   0.099220  3.936983e-13
   0.100820  4.540812e-13
   0.102420  5.235911e-13
   0.104021  6.035867e-13
   0.105621  6.956261e-13
   0.107221  8.014948e-13
   0.108822  9.232394e-13
   0.110422  1.063204e-12
   0.112022  1.224074e-12
   0.113623  1.408924e-12
   0.115223  1.621273e-12
   0.116823  1.865148e-12
   0.118424  2.145158e-12
   0.120024  2.466573e-12
   0.121624  2.835419e-12
   0.123225  3.258588e-12
   0.124825  3.743952e-12
   0.126425  4.300509e-12
   0.128026  4.938536e-12
   0.129626  5.669767e-12
   0.131226  6.507602e-12
   0.132827  7.467332e-12
   0.134427  8.566406e-12
   0.136027  9.824729e-12
   0.137628  1.126500e-11
   0.139228  1.291310e-11
   0.140828  1.479853e-11
   0.142428  1.695491e-11
   0.144029  1.942053e-11
   0.145629  2.223900e-11
   0.147229  2.546000e-11
   0.148830  2.914003e-11
   0.150430  3.334345e-11
   0.152030  3.814342e-11
   0.153631  4.362320e-11
   0.155231  4.987744e-11
   0.156831  5.701374e-11
   0.158432  6.515437e-11
   0.160032  7.443828e-11
   0.161632  8.502328e-11
   0.163233  9.708857e-11
   0.164833  1.108376e-10
   0.166433  1.265012e-10
   0.168034  1.443415e-10
   0.169634  1.646555e-10
   0.171234  1.877804e-10
   0.172835  2.140981e-10
   0.174435  2.440417e-10
   0.176035  2.781020e-10
   0.177636  3.168348e-10
   0.179236  3.608696e-10
   0.180836  4.109193e-10
   0.182436  4.677905e-10
   0.184037  5.323964e-10
   0.185637  6.057696e-10
   0.187237  6.890783e-10
   0.188838  7.836432e-10
   0.190438  8.909574e-10
   0.192038  1.012708e-09
   0.193639  1.150801e-09
   0.195239  1.307389e-09
   0.196839  1.484904e-09
   0.198440  1.686089e-09
   0.200040  1.914042e-09
   0.201640  2.172256e-09
   0.203241  2.464674e-09
   0.204841  2.795738e-09
