 Eloss (eV)  Int/Int(10Dq)
   0.000000   6.515999e-79
   0.001600   9.359437e-79
   0.003201   1.343874e-78
   0.004801   1.928889e-78
   0.006401   2.767555e-78
   0.008002   3.969404e-78
   0.009602   5.691075e-78
   0.011202   8.156492e-78
   0.012803   1.168564e-77
   0.014403   1.673562e-77
   0.016003   2.395914e-77
   0.017604   3.428788e-77
   0.019204   4.905125e-77
   0.020804   7.014547e-77
   0.022404   1.002742e-76
   0.024005   1.432910e-76
   0.025605   2.046862e-76
   0.027205   2.922796e-76
   0.028806   4.172039e-76
   0.030406   5.953033e-76
   0.032006   8.491184e-76
   0.033607   1.210705e-75
   0.035207   1.725633e-75
   0.036807   2.458661e-75
   0.038408   3.501781e-75
   0.040008   4.985622e-75
   0.041608   7.095611e-75
   0.043209   1.009486e-74
   0.044809   1.435657e-74
   0.046409   2.040993e-74
   0.048010   2.900495e-74
   0.049610   4.120433e-74
   0.051210   5.851318e-74
   0.052811   8.306243e-74
   0.054411   1.178679e-73
   0.056011   1.671963e-73
   0.057612   2.370815e-73
   0.059212   3.360539e-73
   0.060812   4.761679e-73
   0.062412   6.744526e-73
   0.064013   9.549548e-73
   0.065613   1.351619e-72
   0.067213   1.912343e-72
   0.068814   2.704689e-72
   0.070414   3.823922e-72
   0.072014   5.404316e-72
   0.073615   7.635061e-72
   0.075215   1.078262e-71
   0.076815   1.522216e-71
   0.078416   2.148168e-71
   0.080016   3.030403e-71
   0.081616   4.273389e-71
   0.083217   6.023995e-71
   0.084817   8.488616e-71
   0.086417   1.195719e-70
   0.088018   1.683688e-70
   0.089618   2.369922e-70
   0.091218   3.334622e-70
   0.092819   4.690285e-70
   0.094419   6.594652e-70
   0.096019   9.268824e-70
   0.097620   1.302259e-69
   0.099220   1.828986e-69
   0.100820   2.567812e-69
   0.102420   3.603763e-69
   0.104021   5.055794e-69
   0.105621   7.090266e-69
   0.107221   9.939756e-69
   0.108822   1.392929e-68
   0.110422   1.951292e-68
   0.112022   2.732472e-68
   0.113623   3.824981e-68
   0.115223   5.352329e-68
   0.116823   7.486804e-68
   0.118424   1.046864e-67
   0.120024   1.463268e-67
   0.121624   2.044550e-67
   0.123225   2.855694e-67
   0.124825   3.987178e-67
   0.126425   5.564929e-67
   0.128026   7.764147e-67
   0.129626   1.082849e-66
   0.131226   1.509670e-66
   0.132827   2.103955e-66
   0.134427   2.931101e-66
   0.136027   4.081927e-66
   0.137628   5.682504e-66
   0.139228   7.907776e-66
   0.140828   1.100041e-65
   0.142428   1.529691e-65
   0.144029   2.126368e-65
   0.145629   2.954700e-65
   0.147229   4.104198e-65
   0.148830   5.698798e-65
   0.150430   7.910033e-65
   0.152030   1.097523e-64
   0.153631   1.522259e-64
   0.155231   2.110590e-64
   0.156831   2.925225e-64
   0.158432   4.052795e-64
   0.160032   5.612936e-64
   0.161632   7.770798e-64
   0.163233   1.075428e-63
   0.164833   1.487774e-63
   0.166433   2.057466e-63
   0.168034   2.844254e-63
   0.169634   3.930469e-63
   0.171234   5.429505e-63
   0.172835   7.497497e-63
   0.174435   1.034933e-62
   0.176035   1.428067e-62
   0.177636   1.969812e-62
   0.179236   2.716070e-62
   0.180836   3.743668e-62
   0.182436   5.158148e-62
   0.184037   7.104447e-62
   0.185637   9.781531e-62
   0.187237   1.346243e-61
   0.188838   1.852167e-61
   0.190438   2.547281e-61
   0.192038   3.501981e-61
   0.193639   4.812720e-61
   0.195239   6.611616e-61
   0.196839   9.079556e-61
   0.198440   1.246412e-60
   0.200040   1.710405e-60
   0.201640   2.346260e-60
   0.203241   3.217314e-60
   0.204841   4.410124e-60
   0.206441   6.042940e-60
   0.208042   8.277244e-60
   0.209642   1.133348e-59
   0.211242   1.551247e-59
   0.212843   2.122456e-59
   0.214443   2.902930e-59
   0.216043   3.968938e-59
   0.217644   5.424407e-59
   0.219244   7.410888e-59
   0.220844   1.012111e-58
   0.222444   1.381740e-58
   0.224045   1.885665e-58
   0.225645   2.572426e-58
   0.227245   3.508013e-58
   0.228846   4.782111e-58
   0.230446   6.516556e-58
   0.232046   8.876804e-58
   0.233647   1.208747e-57
   0.235247   1.645333e-57
   0.236847   2.238786e-57
   0.238448   3.045169e-57
   0.240048   4.140477e-57
   0.241648   5.627678e-57
   0.243249   7.646246e-57
   0.244849   1.038502e-56
   0.246449   1.409959e-56
   0.248050   1.913576e-56
   0.249650   2.596121e-56
   0.251250   3.520824e-56
   0.252851   4.773136e-56
   0.254451   6.468495e-56
   0.256051   8.762799e-56
   0.257652   1.186649e-55
