     pdsi  Eigenvalues Row 1
-0.700000          10.675145
-0.707755          10.696500
-0.715510          10.717909
-0.723265          10.739371
-0.731020          10.760884
-0.738776          10.782449
-0.746531          10.804063
-0.754286          10.825727
-0.762041          10.847439
-0.769796          10.869200
-0.777551          10.891008
-0.785306          10.912862
-0.793061          10.934762
-0.800816          10.956707
-0.808571          10.978697
-0.816327          11.000731
-0.824082          11.022808
-0.831837          11.044928
-0.839592          11.067090
-0.847347          11.089293
-0.855102          11.111538
-0.862857          11.133823
-0.870612          11.156148
-0.878367          11.178513
-0.886122          11.200917
-0.893878          11.223359
-0.901633          11.245840
-0.909388          11.268358
-0.917143          11.290913
-0.924898          11.313505
-0.932653          11.336134
-0.940408          11.358798
-0.948163          11.381498
-0.955918          11.404234
-0.963673          11.427004
-0.971429          11.449809
-0.979184          11.472648
-0.986939          11.495520
-0.994694          11.518427
-1.002449          11.541366
-1.010204          11.564338
-1.017959          11.587343
-1.025714          11.610381
-1.033469          11.633451
-1.041224          11.656552
-1.048980          11.679685
-1.056735          11.702850
-1.064490          11.726046
-1.072245          11.749273
-1.080000          11.772531
