 Eloss (eV)  Int/Int(10Dq)
   1.617117       0.191452
   1.624625       0.191657
   1.632132       0.194544
   1.639640       0.200216
   1.647147       0.208778
   1.654655       0.220329
   1.662162       0.234929
   1.669670       0.252543
   1.677177       0.272961
   1.684685       0.295721
   1.692192       0.320063
   1.699700       0.344964
   1.707207       0.369263
   1.714715       0.391811
   1.722222       0.411558
   1.729730       0.427535
   1.737237       0.438827
   1.744745       0.444618
   1.752252       0.444264
   1.759760       0.437343
   1.767267       0.423721
   1.774775       0.403736
   1.782282       0.378401
   1.789790       0.349375
   1.797297       0.318636
   1.804805       0.288037
   1.812312       0.258984
   1.819820       0.232334
   1.827327       0.208471
   1.834835       0.187446
   1.842342       0.169106
   1.849850       0.153204
   1.857357       0.139459
   1.864865       0.127595
   1.872372       0.117358
   1.879880       0.108530
   1.887387       0.100920
   1.894895       0.094372
   1.902402       0.088756
   1.909910       0.083967
   1.917417       0.079921
   1.924925       0.076550
   1.932432       0.073799
   1.939940       0.071621
   1.947447       0.069970
   1.954955       0.068792
   1.962462       0.070898
   1.969970       0.072668
   1.977477       0.074095
   1.984985       0.075205
   1.992492       0.076038
   2.000000       0.076631
   2.007508       0.077009
   2.015015       0.077189
   2.022523       0.077184
   2.030030       0.077010
   2.037538       0.076691
   2.045045       0.076254
   2.052553       0.075733
   2.060060       0.075159
   2.067568       0.074562
   2.075075       0.073967
   2.082583       0.073394
   2.090090       0.072858
   2.097598       0.072368
   2.105105       0.071931
   2.112613       0.071550
   2.120120       0.071225
   2.127628       0.070956
   2.135135       0.070742
   2.142643       0.070579
   2.150150       0.070466
   2.157658       0.070400
   2.165165       0.070378
   2.172673       0.070397
   2.180180       0.070456
   2.187688       0.070552
   2.195195       0.070683
   2.202703       0.070847
   2.210210       0.071043
   2.217718       0.071268
   2.225225       0.071520
   2.232733       0.071799
   2.240240       0.072103
   2.247748       0.072429
   2.255255       0.072777
   2.262763       0.073144
   2.270270       0.073529
   2.277778       0.073930
   2.285285       0.074346
   2.292793       0.074775
   2.300300       0.075215
   2.307808       0.075665
   2.315315       0.076123
   2.322823       0.076588
   2.330330       0.077059
   2.337838       0.077532
   2.345345       0.078009
   2.352853       0.078486
   2.360360       0.078962
   2.367868       0.079436
   2.375375       0.079907
   2.382883       0.080374
   2.390390       0.080835
   2.397898       0.081289
   2.405405       0.081734
   2.412913       0.082171
   2.420420       0.082598
   2.427928       0.083013
   2.435435       0.083417
   2.442943       0.083809
   2.450450       0.084187
   2.457958       0.084552
   2.465465       0.084902
   2.472973       0.085238
   2.480480       0.085560
   2.487988       0.085866
   2.495495       0.086156
   2.503003       0.086432
   2.510511       0.086692
   2.518018       0.086936
   2.525526       0.087166
   2.533033       0.087380
   2.540541       0.087579
   2.548048       0.087763
   2.555556       0.087933
   2.563063       0.088089
   2.570571       0.088231
   2.578078       0.088359
   2.585586       0.088473
   2.593093       0.088575
   2.600601       0.088664
   2.608108       0.088742
   2.615616       0.088807
   2.623123       0.088862
   2.630631       0.088906
   2.638138       0.088940
   2.645646       0.088964
   2.653153       0.088979
   2.660661       0.088986
   2.668168       0.088985
   2.675676       0.088976
   2.683183       0.088960
   2.690691       0.088938
   2.698198       0.088911
   2.705706       0.088878
   2.713213       0.088841
   2.720721       0.088799
   2.728228       0.088755
   2.735736       0.088707
   2.743243       0.088657
   2.750751       0.088606
   2.758258       0.088553
   2.765766       0.088499
   2.773273       0.088444
   2.780781       0.088390
   2.788288       0.088336
   2.795796       0.088284
   2.803303       0.088232
   2.810811       0.088182
   2.818318       0.088134
   2.825826       0.088089
   2.833333       0.088045
   2.840841       0.088005
   2.848348       0.087967
   2.855856       0.087933
   2.863363       0.087902
   2.870871       0.087875
   2.878378       0.087851
   2.885886       0.087831
   2.893393       0.087814
   2.900901       0.087802
   2.908408       0.087718
   2.915916       0.087638
   2.923423       0.087561
   2.930931       0.087489
   2.938438       0.087420
   2.945946       0.087356
   2.953453       0.087296
   2.960961       0.087241
   2.968468       0.087190
   2.975976       0.087145
   2.983483       0.087105
   2.990991       0.087070
   2.998498       0.087041
   3.006006       0.087017
   3.013514       0.087000
   3.021021       0.086988
   3.028529       0.086983
   3.036036       0.086985
   3.043544       0.086992
   3.051051       0.087007
   3.058559       0.087028
   3.066066       0.087056
   3.073574       0.087092
   3.081081       0.087134
   3.088589       0.087183
   3.096096       0.087240
   3.103604       0.087305
   3.111111       0.087376
   3.118619       0.087455
   3.126126       0.087542
   3.133634       0.087636
   3.141141       0.087737
   3.148649       0.087846
   3.156156       0.087963
   3.163664       0.088086
   3.171171       0.088217
   3.178679       0.088356
   3.186186       0.088501
   3.193694       0.088653
   3.201201       0.088813
   3.208709       0.088979
   3.216216       0.089151
   3.223724       0.089330
   3.231231       0.089516
   3.238739       0.089707
   3.246246       0.089904
   3.253754       0.090106
   3.261261       0.090314
   3.268769       0.090527
   3.276276       0.090744
   3.283784       0.090966
   3.291291       0.091191
   3.298799       0.091420
   3.306306       0.091653
   3.313814       0.091888
   3.321321       0.092125
   3.328829       0.092365
   3.336336       0.092606
   3.343844       0.092848
   3.351351       0.093091
   3.358859       0.093334
   3.366366       0.093576
   3.373874       0.093818
   3.381381       0.094058
   3.388889       0.094296
   3.396396       0.094532
   3.403904       0.094764
   3.411411       0.094993
   3.418919       0.095217
   3.426426       0.095437
   3.433934       0.095652
   3.441441       0.095860
   3.448949       0.096062
   3.456456       0.096257
   3.463964       0.096444
   3.471471       0.096623
   3.478979       0.096793
   3.486486       0.096954
   3.493994       0.097105
   3.501502       0.097245
   3.509009       0.097375
   3.516517       0.097493
   3.524024       0.097599
   3.531532       0.097693
   3.539039       0.097774
   3.546547       0.097842
   3.554054       0.097897
   3.561562       0.097938
   3.569069       0.097964
   3.576577       0.097976
   3.584084       0.097974
   3.591592       0.097956
   3.599099       0.097923
   3.606607       0.097875
   3.614114       0.097812
   3.621622       0.097733
   3.629129       0.097638
   3.636637       0.097529
   3.644144       0.097403
   3.651652       0.097262
   3.659159       0.097106
   3.666667       0.096935
   3.674174       0.096748
   3.681682       0.096547
   3.689189       0.096331
   3.696697       0.096101
   3.704204       0.095857
   3.711712       0.095599
   3.719219       0.095328
   3.726727       0.095044
   3.734234       0.094747
   3.741742       0.094438
   3.749249       0.094118
   3.756757       0.093787
   3.764264       0.093445
   3.771772       0.093092
   3.779279       0.092731
   3.786787       0.092360
   3.794294       0.091980
   3.801802       0.091593
   3.809309       0.091198
   3.816817       0.090796
   3.824324       0.090388
   3.831832       0.089974
   3.839339       0.089556
   3.846847       0.089132
   3.854354       0.088705
   3.861862       0.088274
   3.869369       0.087840
   3.876877       0.087404
   3.884384       0.086966
