 Charge Transfer (eV)  Eigenvalues Row 1
            -1.200000          11.827057
            -1.151020          11.809222
            -1.102041          11.794053
            -1.053061          11.781877
            -1.004082          11.773046
            -0.955102          11.767919
            -0.906122          11.766843
            -0.857143          11.770118
            -0.808163          11.777972
            -0.759184          11.790531
            -0.710204          11.807800
            -0.661224          11.829663
            -0.612245          11.855901
            -0.563265          11.886216
            -0.514286          11.920263
            -0.465306          11.957682
            -0.416327          11.998116
            -0.367347          12.041234
            -0.318367          12.086731
            -0.269388          12.134341
            -0.220408          12.183830
            -0.171429          12.234996
            -0.122449          12.287667
            -0.073469          12.341694
            -0.024490          12.396951
             0.024490          12.453331
             0.073469          12.510742
             0.122449          12.569105
             0.171429          12.628352
             0.220408          12.688424
             0.269388          12.749270
             0.318367          12.810846
             0.367347          12.873113
             0.416327          12.936037
             0.465306          12.999588
             0.514286          13.063738
             0.563265          13.128465
             0.612245          13.193745
             0.661224          13.259561
             0.710204          13.325894
             0.759184          13.392729
             0.808163          13.460050
             0.857143          13.527845
             0.906122          13.596102
             0.955102          13.664808
             1.004082          13.733953
             1.053061          13.803527
             1.102041          13.873521
             1.151020          13.943926
             1.200000          14.014734
