 dEinc Column1  dEinc Column2  dEinc Column3  dEinc Column4  dEinc Column5  dEinc Column6  dEinc Column7  dEinc Column8  dEinc Column9  dEinc Column10  dEinc Column11  dEinc Column12  dEinc Column13  dEinc Column14  dEinc Column15  dEinc Column16  dEinc Column17  dEinc Column18  dEinc Column19  dEinc Column20  dEinc Column21  dEinc Column22  dEinc Column23  dEinc Column24  dEinc Column25  dEinc Column26  dEinc Column27  dEinc Column28  dEinc Column29  dEinc Column30  dEinc Column31  dEinc Column32  dEinc Column33  dEinc Column34  dEinc Column35  dEinc Column36  dEinc Column37  dEinc Column38  dEinc Column39  dEinc Column40  dEinc Column41  dEinc Column42  dEinc Column43  dEinc Column44  dEinc Column45  dEinc Column46  dEinc Column47  dEinc Column48  dEinc Column49  dEinc Column50  dEinc Column51  dEinc Column52  dEinc Column53  dEinc Column54  dEinc Column55  dEinc Column56
      0.000224       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000000       0.000000       0.000428       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000000       0.000000       0.000094       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000391       0.000000       0.000000       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000130       0.000000       0.000000       0.001002       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000000       0.000000       0.000000       0.000543       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000193       0.000000       0.000000       0.000522       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000522       0.000329       0.000000       0.000856       0.000021       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000391       0.000329       0.000188       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000522       0.000193       0.000000       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000130       0.000000       0.000000       0.000000       0.000000       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000193       0.000000       0.000000       0.000000       0.000078       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
      0.000000       0.000329       0.000000       0.000000       0.000000       0.000444       0.000000       0.000522       0.000000        0.000522        0.000000        0.000522        0.000000        0.000522        0.000000        0.001565        0.002609        0.001565        0.000522        0.002087        0.001044        0.001044        0.000000        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522        0.001044        0.000522        0.001044        0.001044        0.000522        0.000000        0.000522        0.000522        0.000000        0.002087        0.000522        0.001044        0.000522        0.000522        0.000522        0.000522        0.001044        0.000000        0.000000        0.000000        0.000000        0.000522        0.000522        0.000522
