 Eloss (eV)  Int/Int(10Dq)
   1.617117       0.356032
   1.624625       0.363678
   1.632132       0.371738
   1.639640       0.380032
   1.647147       0.388346
   1.654655       0.396437
   1.662162       0.404041
   1.669670       0.410885
   1.677177       0.416699
   1.684685       0.421227
   1.692192       0.424239
   1.699700       0.425543
   1.707207       0.424998
   1.714715       0.422519
   1.722222       0.418086
   1.729730       0.411745
   1.737237       0.403609
   1.744745       0.393851
   1.752252       0.382692
   1.759760       0.370392
   1.767267       0.357227
   1.774775       0.343480
   1.782282       0.329420
   1.789790       0.315294
   1.797297       0.301315
   1.804805       0.287661
   1.812312       0.274472
   1.819820       0.261854
   1.827327       0.249881
   1.834835       0.238598
   1.842342       0.228028
   1.849850       0.218178
   1.857357       0.209040
   1.864865       0.200594
   1.872372       0.192814
   1.879880       0.185669
   1.887387       0.179121
   1.894895       0.173134
   1.902402       0.167665
   1.909910       0.162673
   1.917417       0.158115
   1.924925       0.153948
   1.932432       0.150127
   1.939940       0.146611
   1.947447       0.143358
   1.954955       0.140329
   1.962462       0.137487
   1.969970       0.134796
   1.977477       0.132224
   1.984985       0.129740
   1.992492       0.127316
   2.000000       0.124929
   2.007508       0.122558
   2.015015       0.120187
   2.022523       0.117807
   2.030030       0.115414
   2.037538       0.113013
   2.045045       0.110612
   2.052553       0.108227
   2.060060       0.105875
   2.067568       0.103576
   2.075075       0.101349
   2.082583       0.099209
   2.090090       0.097173
   2.097598       0.095250
   2.105105       0.093449
   2.112613       0.091773
   2.120120       0.090224
   2.127628       0.088800
   2.135135       0.087497
   2.142643       0.086311
   2.150150       0.085235
   2.157658       0.084264
   2.165165       0.083394
   2.172673       0.082619
   2.180180       0.081938
   2.187688       0.081350
   2.195195       0.080857
   2.202703       0.080461
   2.210210       0.083413
   2.217718       0.086378
   2.225225       0.089347
   2.232733       0.092312
   2.240240       0.095262
   2.247748       0.098190
   2.255255       0.101088
   2.262763       0.103948
   2.270270       0.106764
   2.277778       0.109532
   2.285285       0.112246
   2.292793       0.114903
   2.300300       0.117499
   2.307808       0.120029
   2.315315       0.122492
   2.322823       0.124884
   2.330330       0.127202
   2.337838       0.129445
   2.345345       0.131612
   2.352853       0.133700
   2.360360       0.135710
   2.367868       0.137641
   2.375375       0.139495
   2.382883       0.141272
   2.390390       0.142973
   2.397898       0.144601
   2.405405       0.146157
   2.412913       0.147644
   2.420420       0.149064
   2.427928       0.150419
   2.435435       0.151713
   2.442943       0.152948
   2.450450       0.154127
   2.457958       0.155251
   2.465465       0.156324
   2.472973       0.157347
   2.480480       0.158324
   2.487988       0.159255
   2.495495       0.160144
   2.503003       0.160991
   2.510511       0.161800
   2.518018       0.162571
   2.525526       0.163306
   2.533033       0.164008
   2.540541       0.164677
   2.548048       0.165315
   2.555556       0.165924
   2.563063       0.166504
   2.570571       0.167057
   2.578078       0.167585
   2.585586       0.168087
   2.593093       0.168566
   2.600601       0.169022
   2.608108       0.169456
   2.615616       0.169869
   2.623123       0.170261
   2.630631       0.170633
   2.638138       0.170986
   2.645646       0.171320
   2.653153       0.171635
   2.660661       0.171932
   2.668168       0.172211
   2.675676       0.172472
   2.683183       0.172716
   2.690691       0.172943
   2.698198       0.173151
   2.705706       0.173343
   2.713213       0.173517
   2.720721       0.173675
   2.728228       0.173814
   2.735736       0.173937
   2.743243       0.174042
   2.750751       0.174130
   2.758258       0.174201
   2.765766       0.174254
   2.773273       0.174290
   2.780781       0.174309
   2.788288       0.174310
   2.795796       0.174294
   2.803303       0.174261
   2.810811       0.174211
   2.818318       0.174144
   2.825826       0.174060
   2.833333       0.173959
   2.840841       0.173842
   2.848348       0.173709
   2.855856       0.173560
   2.863363       0.173395
   2.870871       0.173214
   2.878378       0.173018
   2.885886       0.172808
   2.893393       0.172583
   2.900901       0.172343
   2.908408       0.172384
   2.915916       0.172423
   2.923423       0.172459
   2.930931       0.172492
   2.938438       0.172523
   2.945946       0.172550
   2.953453       0.172574
   2.960961       0.172595
   2.968468       0.172611
   2.975976       0.172624
   2.983483       0.172632
   2.990991       0.172636
   2.998498       0.172635
   3.006006       0.172629
   3.013514       0.172618
   3.021021       0.172602
   3.028529       0.172580
   3.036036       0.172552
   3.043544       0.172517
   3.051051       0.172477
   3.058559       0.172430
   3.066066       0.172377
   3.073574       0.172316
   3.081081       0.172249
   3.088589       0.172175
   3.096096       0.172093
   3.103604       0.172003
   3.111111       0.171906
   3.118619       0.171802
   3.126126       0.171689
   3.133634       0.171569
   3.141141       0.171441
   3.148649       0.171304
   3.156156       0.171159
   3.163664       0.171006
   3.171171       0.170845
   3.178679       0.170676
   3.186186       0.170498
   3.193694       0.170313
   3.201201       0.170118
   3.208709       0.169916
   3.216216       0.169706
   3.223724       0.169487
   3.231231       0.169261
   3.238739       0.169027
   3.246246       0.168785
   3.253754       0.168535
   3.261261       0.168278
   3.268769       0.168013
   3.276276       0.167742
   3.283784       0.167463
   3.291291       0.167178
   3.298799       0.166885
   3.306306       0.166587
   3.313814       0.166282
   3.321321       0.165971
   3.328829       0.165655
   3.336336       0.165333
   3.343844       0.165006
   3.351351       0.164674
   3.358859       0.164337
   3.366366       0.163996
   3.373874       0.163650
   3.381381       0.163301
   3.388889       0.162948
   3.396396       0.162592
   3.403904       0.162233
   3.411411       0.161870
   3.418919       0.161506
   3.426426       0.161139
   3.433934       0.160770
   3.441441       0.160399
   3.448949       0.160028
   3.456456       0.159654
   3.463964       0.159280
   3.471471       0.158906
   3.478979       0.158531
   3.486486       0.158155
   3.493994       0.157780
   3.501502       0.157405
   3.509009       0.157031
   3.516517       0.156657
   3.524024       0.156285
   3.531532       0.155913
   3.539039       0.155543
   3.546547       0.155174
   3.554054       0.154806
   3.561562       0.154441
   3.569069       0.154077
   3.576577       0.153715
   3.584084       0.153355
   3.591592       0.152998
   3.599099       0.152642
   3.606607       0.152289
   3.614114       0.151938
   3.621622       0.151590
   3.629129       0.151244
   3.636637       0.150901
   3.644144       0.150560
   3.651652       0.150221
   3.659159       0.149885
   3.666667       0.149551
   3.674174       0.149219
   3.681682       0.148890
   3.689189       0.148562
   3.696697       0.148237
   3.704204       0.147914
   3.711712       0.147592
   3.719219       0.147272
   3.726727       0.146954
   3.734234       0.146637
   3.741742       0.146322
   3.749249       0.146007
   3.756757       0.145694
   3.764264       0.145381
   3.771772       0.145068
   3.779279       0.144756
   3.786787       0.144444
   3.794294       0.144132
   3.801802       0.143820
   3.809309       0.143506
   3.816817       0.143192
   3.824324       0.142877
   3.831832       0.142561
   3.839339       0.142243
   3.846847       0.141923
   3.854354       0.141601
   3.861862       0.141277
   3.869369       0.140950
   3.876877       0.140620
   3.884384       0.140287
   3.891892       0.139951
   3.899399       0.139611
   3.906907       0.139267
   3.914414       0.138919
   3.921922       0.138567
   3.929429       0.138210
   3.936937       0.137848
   3.944444       0.137481
   3.951952       0.137109
   3.959459       0.136731
   3.966967       0.136347
   3.974474       0.135958
   3.981982       0.135563
   3.989489       0.135161
   3.996997       0.134753
   4.004505       0.134338
   4.012012       0.133917
   4.019520       0.133488
   4.027027       0.133053
   4.034535       0.132611
   4.042042       0.132162
   4.049550       0.131705
   4.057057       0.131241
   4.064565       0.130770
   4.072072       0.130291
   4.079580       0.129806
   4.087087       0.129312
   4.094595       0.128812
   4.102102       0.128304
   4.109610       0.127789
   4.117117       0.127266
   4.124625       0.126736
   4.132132       0.126200
   4.139640       0.125656
   4.147147       0.125105
   4.154655       0.124547
   4.162162       0.123983
   4.169670       0.123412
   4.177177       0.122835
   4.184685       0.122251
   4.192192       0.121662
   4.199700       0.121066
   4.207207       0.120464
   4.214715       0.119857
   4.222222       0.119245
   4.229730       0.118628
   4.237237       0.118005
   4.244745       0.117378
   4.252252       0.116746
   4.259760       0.116110
   4.267267       0.115470
   4.274775       0.114826
   4.282282       0.114178
   4.289790       0.113528
   4.297297       0.112873
   4.304805       0.112217
   4.312312       0.111557
   4.319820       0.110895
   4.327327       0.110231
   4.334835       0.109565
   4.342342       0.108897
   4.349850       0.108228
   4.357357       0.107557
   4.364865       0.106886
   4.372372       0.106213
   4.379880       0.105540
   4.387387       0.104867
   4.394895       0.104194
   4.402402       0.103521
   4.409910       0.102848
   4.417417       0.102176
   4.424925       0.101504
   4.432432       0.100833
   4.439940       0.100163
   4.447447       0.099495
   4.454955       0.098828
   4.462462       0.098163
   4.469970       0.097499
   4.477477       0.096837
   4.484985       0.096177
   4.492492       0.095520
   4.500000       0.094865
   4.507508       0.094212
   4.515015       0.093562
   4.522523       0.092915
   4.530030       0.092270
   4.537538       0.091629
   4.545045       0.090990
   4.552553       0.090355
   4.560060       0.089722
   4.567568       0.089094
   4.575075       0.088468
   4.582583       0.087846
   4.590090       0.087228
   4.597598       0.086613
   4.605105       0.086002
   4.612613       0.085394
   4.620120       0.084790
   4.627628       0.084190
   4.635135       0.083594
   4.642643       0.083002
   4.650150       0.082413
   4.657658       0.081829
   4.665165       0.081248
   4.672673       0.080672
   4.680180       0.080099
   4.687688       0.079531
   4.695195       0.078966
   4.702703       0.078406
   4.710210       0.077850
   4.717718       0.077297
   4.725225       0.076749
   4.732733       0.076204
   4.740240       0.075664
   4.747748       0.075128
   4.755255       0.074596
   4.762763       0.074068
   4.770270       0.073543
   4.777778       0.073023
   4.785285       0.072507
   4.792793       0.071995
   4.800300       0.071487
   4.807808       0.070982
   4.815315       0.070482
   4.822823       0.069986
   4.830330       0.069493
   4.837838       0.069004
   4.845345       0.068519
   4.852853       0.068038
   4.860360       0.067561
